Date,Open,High,Low,Close,Adj Close,Volume
2020-05-26,20.490000,20.540001,19.070000,19.209999,19.104790,60654700
2020-05-27,19.600000,19.719999,19.180000,19.540001,19.432983,31731300
2020-05-28,19.370001,19.660000,19.059999,19.100000,18.995392,36679100
2020-05-29,19.100000,19.100000,18.469999,18.950001,18.846212,70297300
2020-06-01,18.889999,19.940001,18.790001,19.799999,19.691557,60813500
2020-06-02,20.170000,20.700001,20.040001,20.670000,20.576513,47861000
2020-06-03,21.639999,22.000000,21.360001,21.590000,21.492350,76471600
2020-06-04,21.389999,22.160000,21.010000,21.900000,21.800949,58598500
2020-06-05,23.340000,23.629999,22.180000,22.299999,22.199137,73385100
2020-06-08,22.700001,23.500000,22.600000,23.469999,23.363848,57868000
2020-06-09,22.860001,23.410000,22.629999,22.950001,22.846201,51741700
2020-06-10,23.400000,23.480000,21.799999,21.879999,21.781038,61429400
2020-06-12,21.350000,21.840000,21.190001,21.629999,21.532166,74209800
2020-06-15,21.000000,21.500000,20.799999,21.150000,21.054340,67404400
2020-06-16,21.990000,22.280001,21.490000,22.030001,21.930361,52661700
2020-06-17,22.000000,22.820000,21.990000,22.379999,22.278774,54418700
2020-06-18,22.110001,22.760000,21.950001,22.299999,22.199137,54596100
2020-06-19,22.650000,22.770000,21.860001,22.360001,22.258865,73765500
2020-06-22,22.389999,22.480000,21.480000,21.580000,21.482397,37514400
2020-06-23,22.000000,22.100000,21.340000,21.549999,21.452530,36807200
2020-06-24,21.430000,21.629999,20.709999,20.850000,20.755697,45725300
2020-06-25,21.110001,21.540001,20.820000,21.350000,21.253435,41089200
2020-06-26,21.040001,21.320000,20.629999,20.690001,20.596418,45474000
2020-06-29,20.889999,21.410000,20.760000,21.410000,21.313166,49001400
2020-06-30,21.219999,21.290001,20.570000,20.700001,20.606377,44894900
2020-07-01,20.820000,21.360001,20.760000,21.160000,21.064295,33581400
2020-07-02,21.620001,21.879999,21.190001,21.209999,21.133015,37641800
2020-07-03,21.180000,21.389999,21.000000,21.350000,21.272511,12616400
2020-07-06,21.900000,22.700001,21.730000,22.650000,22.567791,57072300
2020-07-07,22.450001,22.590000,21.709999,21.709999,21.631205,56044800
2020-07-08,22.000000,22.590000,21.860001,22.450001,22.368519,52076000
2020-07-09,22.570000,22.719999,21.860001,21.950001,21.870333,80783800
2020-07-10,21.940001,22.270000,21.650000,22.270000,22.189171,68710100
2020-07-13,22.490000,22.590000,21.959999,21.959999,21.880293,37676700
2020-07-14,21.980000,22.350000,21.709999,22.330000,22.248955,38642800
2020-07-15,22.600000,23.139999,22.500000,22.700001,22.617611,47389200
2020-07-16,22.500000,22.580000,22.219999,22.299999,22.219061,30452100
2020-07-17,22.480000,22.730000,22.350000,22.410000,22.328663,45094600
2020-07-20,22.459999,22.799999,22.270000,22.620001,22.537901,40134500
2020-07-21,23.000000,23.480000,22.809999,23.230000,23.145687,63882800
2020-07-22,23.299999,23.350000,22.549999,22.830000,22.747137,41721500
2020-07-23,22.889999,22.889999,22.430000,22.500000,22.418337,31033600
2020-07-24,22.299999,22.860001,22.080000,22.639999,22.557827,28914300
2020-07-27,22.889999,23.730000,22.830000,23.680000,23.594053,54917600
2020-07-28,23.410000,24.139999,23.350000,23.520000,23.434633,42900000
2020-07-29,23.900000,24.299999,23.900000,24.260000,24.171947,46364000
2020-07-30,23.969999,24.230000,23.190001,23.410000,23.325033,65663700
2020-07-31,23.600000,23.670000,22.280001,22.440001,22.358555,76658300
2020-08-03,22.670000,22.750000,21.980000,22.200001,22.119427,55871400
2020-08-04,21.930000,22.420000,21.330000,21.719999,21.659678,68211800
2020-08-05,22.030001,22.129999,21.430000,21.820000,21.759401,37536600
2020-08-06,21.900000,22.260000,21.559999,21.969999,21.908985,41748200
2020-08-07,21.709999,22.549999,21.520000,21.840000,21.779346,58531000
2020-08-10,21.950001,22.230000,21.680000,22.030001,21.968819,29133800
2020-08-11,22.290001,22.450001,21.850000,21.850000,21.789318,32179400
2020-08-12,22.010000,22.200001,21.430000,21.650000,21.589872,44203400
2020-08-13,21.750000,21.969999,21.120001,21.200001,21.141125,32655900
2020-08-14,21.280001,21.469999,21.059999,21.230000,21.171040,33439700
2020-08-17,21.150000,21.230000,20.400000,20.610001,20.552761,50508600
2020-08-18,21.090000,21.150000,20.709999,20.830000,20.772150,42046200
2020-08-19,20.920000,21.049999,20.629999,20.750000,20.692373,53339100
2020-08-20,20.379999,20.820000,20.280001,20.700001,20.642513,34128600
2020-08-21,20.670000,20.809999,20.459999,20.700001,20.642513,24480500
2020-08-24,20.920000,21.420000,20.910000,21.170000,21.111206,32160600
2020-08-25,21.350000,21.410000,20.940001,21.170000,21.111206,24944100
2020-08-26,21.150000,21.280001,20.500000,20.730000,20.672428,38019000
